old_name,new_name
Aluminum,aluminum
Antimony,antimony
Arsenic,arsenic
Beryllium,beryllium
Cadmium,cadmium
Cerium,cerium
Chromium,chromium
Cobalt,cobalt
Copper,copper
Iron,iron
Lanthanum,lanthanum
Lead,lead
Manganese,manganese
Molybdenum,molybdenum
Nickel,nickel
Palladium,palladium
Phosphorus,phosphorus
Platinum,platinum
Selenium,selenium
Silver,silver
Strontium,strontium
Sulfur,sulpfur
Thallium,thallium
Tin,tin
Titanium,titanium
Vanadium,vanadium
Zinc,zinc
SO4,sulphate
NO3,nitrate
NH4+,ammonium
Acetate,acetate
Acetate-MDL,Acet-MDL
Acetate-VFlag,Acet-VFlag
Ammonium,ammonium
Ammonium-MDL,NH4-MDL
Ammonium-VFlag,NH4-VFlag
Barium,barium
Barium-MDL,Ba-MDL
Barium-VFlag,Ba-VFlag
Bromide,bromide
Bromide-MDL,Br-MDL
Bromide-VFlag,Br-VFlag
Calcium,calcium
Calcium-MDL,Ca-MDL
Calcium-VFlag,Ca-VFlag
Chloride,chloride
Chloride-MDL,Cl-MDL
Chloride-VFlag,Cl-VFlag
Fluoride,fluoride
Fluoride-MDL,F-MDL
Fluoride-VFlag,F-VFlag
Formate,formate
Formate-MDL,Form-MDL
Formate-VFlag,Form-VFlag
Sulphate,sulphate
Sulphate-MDL,SO4-MDL
Sulphate-VFlag,SO4-VFlag
Lithium,lithium
Lithium-MDL,Li-MDL
Lithium-VFlag,Li-VFlag
Magnesium,magnesium
Magnesium-MDL,Mg-MDL
Magnesium-VFlag,Mg-VFlag
MSA,msa
MSA-MDL,MSA-MDL
MSA-VFlag,MSA-VFlag
Nitrate,nitrate
Nitrate-MDL,NO3-MDL
Nitrate-VFlag,NO3-VFlag
Nitrite,nitrite
Nitrite-MDL,NO2-MDL
Nitrite-VFlag,NO2-VFlag
Oxalate,oxalate
Oxalate-MDL,Oxal-MDL
Oxalate-VFlag,Oxal-VFlag
Propionate,propionate
Propionate-MDL,Prop-MDL
Propionate-VFlag,Prop-VFlag
Sodium,sodium
Sodium-MDL,Na-MDL
Sodium-VFlag,Na-VFlag
Phosphate,phosphate
Phosphate-MDL,PO4-MDL
Phosphate-VFlag,PO4-VFlag
Potassium,potassium
Potassium-MDL,K-MDL
Potassium-VFlag,K-VFlag
Strontium,strontium
Strontium-MDL,Sr-MDL
Strontium-VFlag,Sr-VFlag
Uranium,uranium
Uranium-MDL,U-MDL
Uranium-VFlag,U-VFlag
Aluminum (Al),aluminum
Antimony (Sb),antimony
Arsenic (As),arsenic
Barium (Ba),barium
Beryllium (Be),beryllium
Cadmium (Cd),cadmium
Calcium (Ca),calcium
Cerium (Ce),cerium
Chromium (Cr),chromium
Cobalt (Co),cobalt
Copper (Cu),copper
Iron (Fe),iron
Lanthanum (La),lanthanum
Lead (Pb),lead
Manganese (Mn),manganese
Molybdenum (Mo),molybdenum
Nickel (Ni),nickel
Palladium (Pd),palladium
Phosphorus (PO4),phosphorus
Platinum (Pt),platinum
Selenium (Se),selenium
Silver (Ag),silver
Strontium (Sr),strontium
Sulfur (SO4),sulpfur
Thallium (Tl),thallium
Tin (Sn),tin
Titanium (Ti),titanium
Uranium (U),uranium
Vanadium (V),vanadium
Zinc (Zn),zinc
Mass (ug/m3),PM2.5
Mass,PM2.5
NAPS Site ID,site_id
NAPS ID,site_id
Sampling Date,sampling_date
Date,sampling_date
Sample Type,sampling_type
Sampling Type,sampling_type
