year,type,url
2003,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2003%2FIntegratedData-DonneesPonctuelles%2F2003PMSPECIATION.zip
2004,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2004%2FIntegratedData-DonneesPonctuelles%2F2004PMSPECIATION.zip
2005,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2005%2FIntegratedData-DonneesPonctuelles%2F2005PMSPECIATION.zip
2006,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2006%2FIntegratedData-DonneesPonctuelles%2F2006PMSPECIATION.zip
2007,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2007%2FIntegratedData-DonneesPonctuelles%2F2007PMSPECIATION.zip
2008,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2008%2FIntegratedData-DonneesPonctuelles%2F2008PMSPECIATION.zip
2009,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2009%2FIntegratedData-DonneesPonctuelles%2F2009PMSPECIATION.zip
2010,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2010%2FIntegratedData-DonneesPonctuelles%2F2010_IntegratedPM2.5.zip
2011,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2011%2FIntegratedData-DonneesPonctuelles%2F2011_IntegratedPM2.5.zip
2012,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2012%2FIntegratedData-DonneesPonctuelles%2F2012_IntegratedPM2.5.zip
2013,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2013%2FIntegratedData-DonneesPonctuelles%2F2013_IntegratedPM2.5.zip
2014,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2014%2FIntegratedData-DonneesPonctuelles%2F2014_IntegratedPM2.5.zip
2015,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2015%2FIntegratedData-DonneesPonctuelles%2F2015_IntegratedPM2.5.zip
2016,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2016%2FIntegratedData-DonneesPonctuelles%2F2016_IntegratedPM2.5-PM2.5Ponctuelles.zip
2017,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2017%2FIntegratedData-DonneesPonctuelles%2F2017_IntegratedPM2.5-PM2.5Ponctuelles.zip
2018,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2018%2FIntegratedData-DonneesPonctuelles%2F2018_IntegratedPM2.5-PM2.5Ponctuelles.zip
2019,integrated_pm25,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2019%2FIntegratedData-DonneesPonctuelles%2F2019_IntegratedPM2.5-PM2.5Ponctuelles.zip
2014,integrated_caebonyls,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2014%2FIntegratedData-DonneesPonctuelles%2F2014_CARBONYLS.zip
2015,integrated_caebonyls,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2015%2FIntegratedData-DonneesPonctuelles%2F2015_CARBONYLS.zip
2016,integrated_caebonyls,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2016%2FIntegratedData-DonneesPonctuelles%2F2016_CARBONYLS-CARBONYLES.zip
2017,integrated_caebonyls,https://data-donnees.az.ec.gc.ca/api/file?path=/air%2Fmonitor%2Fnational-air-pollution-surveillance-naps-program%2FData-Donnees%2F2017%2FIntegratedData-DonneesPonctuelles%2F2017_CARBONYLS-CARBONYLES.zip
